"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Dec 03 11:59:03 IST 2025","Wed Dec 03 11:59:03 IST 2025","0","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","varifyRentUnitSizeWiseTableTitle_6930Test","varifyRentUnitSizeWiseTableTitle_6930Test",""
"broken","Wed Dec 03 14:14:17 IST 2025","Wed Dec 03 14:14:50 IST 2025","32899","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","changeShowOnMapColorFxnality_ProjectsTable_TC9275","changeShowOnMapColorFxnality_ProjectsTable_TC9275",""
"passed","Wed Dec 03 13:53:27 IST 2025","Wed Dec 03 13:53:50 IST 2025","23257","Retail sector failed test cases Suite","Test","markets.OfficeSectorTest","markets.OfficeSectorTest","checkGradesMax3OptionsClickable_YearWiseSupplyIncrementalsqm_GradeDD_7511Test","checkGradesMax3OptionsClickable_YearWiseSupplyIncrementalsqm_GradeDD_7511Test",""
"skipped","Wed Dec 03 11:57:37 IST 2025","Wed Dec 03 11:57:37 IST 2025","1","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkTenantsTableDownloadedExcelSheet_7428Test","checkTenantsTableDownloadedExcelSheet_7428Test",""
"failed","Wed Dec 03 13:16:52 IST 2025","Wed Dec 03 13:18:01 IST 2025","68169","Retail sector failed test cases Suite","Test","markets.ResidentialPropertiesTest","markets.ResidentialPropertiesTest","checkNoCornerValue_PropDetailsPg_14151Test","checkNoCornerValue_PropDetailsPg_14151Test",""
"passed","Wed Dec 03 11:32:49 IST 2025","Wed Dec 03 11:33:31 IST 2025","42721","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkPropertiesTableColumn_7412Test","checkPropertiesTableColumn_7412Test",""
"broken","Wed Dec 03 13:44:50 IST 2025","Wed Dec 03 13:44:50 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","bmConfig","bmConfig",""
"skipped","Wed Dec 03 11:56:43 IST 2025","Wed Dec 03 11:56:43 IST 2025","0","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkShowResultsInDefaultValue_3870Test","checkShowResultsInDefaultValue_3870Test",""
"passed","Wed Dec 03 11:24:25 IST 2025","Wed Dec 03 11:25:09 IST 2025","43364","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkExpendedDataInDepartmentsTable_7454Test","checkExpendedDataInDepartmentsTable_7454Test",""
"passed","Wed Dec 03 13:28:50 IST 2025","Wed Dec 03 13:29:13 IST 2025","22962","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyTotalPropertyransactionsBox_TC6399","verifyTotalPropertyransactionsBox_TC6399",""
"skipped","Wed Dec 03 13:40:44 IST 2025","Wed Dec 03 13:40:44 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyPaginationByInput_UnitTransactionTable_TC7253","verifyPaginationByInput_UnitTransactionTable_TC7253",""
"broken","Wed Dec 03 11:17:54 IST 2025","Wed Dec 03 11:18:37 IST 2025","42852","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkDownloadExcelButtonPropertyTable_7414Test","checkDownloadExcelButtonPropertyTable_7414Test",""
"failed","Wed Dec 03 13:01:08 IST 2025","Wed Dec 03 13:02:11 IST 2025","62841","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","removeCatchment_1848Test","removeCatchment_1848Test",""
"broken","Wed Dec 03 12:26:20 IST 2025","Wed Dec 03 12:27:07 IST 2025","47037","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","checkMapLayersMulti_SelectArabic_4360Test","checkMapLayersMulti_SelectArabic_4360Test",""
"passed","Wed Dec 03 13:59:05 IST 2025","Wed Dec 03 13:59:15 IST 2025","9910","Retail sector failed test cases Suite","Test","markets.RequestDemoPageTest","markets.RequestDemoPageTest","verifyRequestDemoPageContents_MKT_I257","verifyRequestDemoPageContents_MKT_I257",""
